;domainSize;nIterations;diskWriteIntensity;airflow;materialFile;simulationMode;simulationOutputFile;middleColAvgTemp;totalTime;iterationTime
seq;256;39062;50;0.001000;input_data_256.h5;;seq;50.598125;1.208694e+01;3.094297e-04
;256;39062;50;0.001000;input_data_256.h5;/lscratch/1174753.dm2/256x256_out_seq.h5;seq;50.598125;1.229935e+01;3.148675e-04
;512;19531;50;0.001000;input_data_512.h5;;seq;30.967758;2.562684e+01;1.312111e-03
;512;19531;50;0.001000;input_data_512.h5;/lscratch/1174753.dm2/512x512_out_seq.h5;seq;30.967758;2.561669e+01;1.311591e-03
;1024;9765;50;0.001000;input_data_1024.h5;;seq;23.933413;5.265565e+01;5.392284e-03
;1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174753.dm2/1024x1024_out_seq.h5;seq;23.933413;5.358641e+01;5.487600e-03
;2048;4882;50;0.001000;input_data_2048.h5;;seq;21.396944;1.065663e+02;2.182841e-02
;2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174753.dm2/2048x2048_out_seq.h5;seq;21.396944;1.099431e+02;2.252009e-02
;4096;2441;50;0.001000;input_data_4096.h5;;seq;20.496801;2.222886e+02;9.106455e-02
;4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174753.dm2/4096x4096_out_seq.h5;seq;20.496801;2.169744e+02;8.888752e-02
1x16;256;39062;50;0.001000;input_data_256.h5;;par;50.598122;1.461020e+00;3.740259e-05
;256;39062;50;0.001000;input_data_256.h5;/lscratch/1174782.dm2/256x256_out_64_par.h5;par;50.598122;1.725692e+00;4.417828e-05
;512;19531;50;0.001000;input_data_512.h5;;par;30.967758;2.045253e+00;1.047183e-04
;512;19531;50;0.001000;input_data_512.h5;/lscratch/1174782.dm2/512x512_out_64_par.h5;par;30.967758;2.664549e+00;1.364267e-04
;1024;9765;50;0.001000;input_data_1024.h5;;par;23.933413;3.625203e+00;3.712445e-04
;1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174782.dm2/1024x1024_out_64_par.h5;par;23.933413;6.378878e+00;6.532389e-04
;2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;9.014072e+00;1.846389e-03
;2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174782.dm2/2048x2048_out_64_par.h5;par;21.396944;1.131575e+01;2.317851e-03
;4096;2441;50;0.001000;input_data_4096.h5;;par;20.496799;1.878315e+01;7.694860e-03
;4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174782.dm2/4096x4096_out_64_par.h5;par;20.496799;2.054246e+01;8.415592e-03
2x16;256;39062;50;0.001000;input_data_256.h5;;par;50.598125;1.071387e+00;2.742786e-05
;256;39062;50;0.001000;input_data_256.h5;/lscratch/1174785.dm2/256x256_out_64_par.h5;par;50.598125;3.403475e+00;8.713008e-05
;512;19531;50;0.001000;input_data_512.h5;;par;30.967758;1.188243e+00;6.083883e-05
;512;19531;50;0.001000;input_data_512.h5;/lscratch/1174785.dm2/512x512_out_64_par.h5;par;30.967758;1.741960e+00;8.918950e-05
;1024;9765;50;0.001000;input_data_1024.h5;;par;23.933413;2.772774e+00;2.839502e-04
;1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174785.dm2/1024x1024_out_64_par.h5;par;23.933413;3.699463e+00;3.788493e-04
;2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;3.702347e+00;7.583669e-04
;2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174785.dm2/2048x2048_out_64_par.h5;par;21.396944;7.458580e+00;1.527771e-03
;4096;2441;50;0.001000;input_data_4096.h5;;par;20.496799;1.105168e+01;4.527522e-03
;4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174785.dm2/4096x4096_out_64_par.h5;par;20.496799;1.482760e+01;6.074396e-03
4x16;256;39062;50;0.001000;input_data_256.h5;;par;50.598125;2.399502e+00;6.142804e-05
;256;39062;50;0.001000;input_data_256.h5;/lscratch/1174786.dm2/256x256_out_64_par.h5;par;50.598125;1.162153e+00;2.975150e-05
;512;19531;50;0.001000;input_data_512.h5;;par;30.967758;7.692320e-01;3.938518e-05
;512;19531;50;0.001000;input_data_512.h5;/lscratch/1174786.dm2/512x512_out_64_par.h5;par;30.967758;1.165265e+00;5.966232e-05
;1024;9765;50;0.001000;input_data_1024.h5;;par;23.933413;3.027745e+00;3.100609e-04
;1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174786.dm2/1024x1024_out_64_par.h5;par;23.933413;2.044864e+00;2.094075e-04
;2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;2.650091e+00;5.428289e-04
;2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174786.dm2/2048x2048_out_64_par.h5;par;21.396944;7.718576e+00;1.581027e-03
;4096;2441;50;0.001000;input_data_4096.h5;;par;20.496799;4.396178e+00;1.800974e-03
;4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174786.dm2/4096x4096_out_64_par.h5;par;20.496799;1.187041e+01;4.862929e-03
8x16;256;39062;50;0.001000;input_data_256.h5;;par;50.598125;9.069202e-01;2.321745e-05
;256;39062;50;0.001000;input_data_256.h5;/lscratch/1174771.dm2/256x256_out_128_par.h5;par;50.598125;4.553320e+00;1.165665e-04
;512;19531;50;0.001000;input_data_512.h5;;par;30.967758;4.242347e+00;2.172109e-04
;512;19531;50;0.001000;input_data_512.h5;/lscratch/1174771.dm2/512x512_out_128_par.h5;par;30.967758;1.115741e+00;5.712667e-05
;1024;9765;50;0.001000;input_data_1024.h5;;par;23.933413;5.028774e+00;5.149794e-04
;1024;9765;50;0.001000;input_data_1024.h5;/lscratch/1174771.dm2/1024x1024_out_128_par.h5;par;23.933413;3.219385e+00;3.296861e-04
;2048;4882;50;0.001000;input_data_2048.h5;;par;21.396944;2.863726e+00;5.865887e-04
;2048;4882;50;0.001000;input_data_2048.h5;/lscratch/1174771.dm2/2048x2048_out_128_par.h5;par;21.396944;8.267408e+00;1.693447e-03
;4096;2441;50;0.001000;input_data_4096.h5;;par;20.496799;5.607845e+00;2.297356e-03
;4096;2441;50;0.001000;input_data_4096.h5;/lscratch/1174771.dm2/4096x4096_out_128_par.h5;par;20.496799;1.776565e+01;7.278022e-03
